hard data [! GSX1 PS=1,2,0
4
x-location
y-location
z-location
facies
          11           1 0           1
          25           3 0           1
          45           3 0           1
          49           3 0           1
           5           5 0           1
           9           5 0           0
          17           5 0           0
          57           5 0           1
          67           5 0           1
          31           7 0           1
          25           9 0           1
          65           9 0           1
          85           9 0           0
           1          13 0           0
          93          13 0           0
          41          17 0           0
          45          17 0           0
          89          17 0           0
          29          21 0           0
          37          21 0           0
          45          21 0           0
          57          21 0           0
          89          21 0           0
           1          25 0           0
          57          25 0           0
          65          25 0           0
          73          25 0           0
          93          25 0           0
          13          29 0           0
          29          29 0           0
          53          29 0           0
          77          29 0           0
          85          29 0           0
          25          33 0           0
          67          33 0           1
          89          33 0           0
          93          33 0           0
          59          35 0           1
          25          37 0           0
          57          37 0           1
          53          39 0           1
          75          39 0           1
          73          41 0           1
           9          43 0           1
          17          43 0           1
          41          43 0           1
          77          43 0           1
           5          45 0           1
          37          45 0           1
          65          45 0           0
           7          47 0           1
          45          47 0           1
          41          49 0           1
          49          49 0           0
          61          49 0           0
          95          51 0           1
          53          53 0           0
          73          53 0           0
          51          57 0           1
          41          59 0           1
          47          61 0           1
          69          61 0           1
          93          61 0           0
          29          63 0           1
          67          63 0           1
          19          65 0           1
          57          65 0           0
          77          67 0           1
          93          69 0           1
          35          71 0           1
          43          71 0           1
          57          71 0           1
          17          73 0           0
          33          73 0           1
          93          73 0           0
          41          75 0           1
          43          75 0           1
          89          75 0           1
          45          77 0           1
          25          79 0           1
          97          79 0           1
          93          83 0           1
           7          85 0           1
          37          85 0           0
          41          85 0           0
          77          85 0           0
          17          87 0           1
           1          89 0           0
          17          89 0           1
          19          89 0           1
          93          89 0           0
          97          89 0           0
           5          93 0           0
          29          93 0           0
          53          93 0           0
          61          93 0           0
          93          93 0           0
          21          97 0           0
          53          97 0           0
          93          97 0           0
